"1","Prem, Oberbayern","47.6833","10.8","prem-oberbayern"
"2","Pfullendorf (Baden)","47.9249","9.25718","pfullendorf-baden"
"3","Wissen, Sieg","50.7833","7.75","wissen-sieg"
"4","Miltenberg","49.7039","9.26444","miltenberg"
"5","Moosthenning","48.6833","12.5","moosthenning"
"6","Bernbeuren","47.7333","10.7833","bernbeuren"
"7","Demmin, Hansestadt","53.9","13.0333","demmin-hansestadt"
"8","Konstanz, Universitätsstadt","47.6667","9.18333","konstanz-universit-tsstadt"
"9","Teutschenthal","51.45","11.8","teutschenthal"
"10","Vierlinden","52.515","14.3141","vierlinden"
"11","Schrozberg","49.3453","9.97944","schrozberg"
"12","Berge bei Perleberg","53.2333","11.8667","berge-bei-perleberg"
"13","Emmerthal, Niedersachsen","52.05","9.38333","emmerthal-niedersachsen"
"14","Pörnbach","48.6167","11.4667","p-rnbach"
"15","Waldmünchen","49.3786","12.7042","waldm-nchen"
"16","Blaubeuren","48.4","9.78333","blaubeuren"
"17","Osterrönfeld","54.2904","9.69555","osterr-nfeld"
"18","Gottfrieding","48.65","12.5333","gottfrieding"
"19","Much","50.9167","7.4","much"
"20","Hessisch Oldendorf","52.1667","9.25","hessisch-oldendorf"
"21","Hemau","49.0533","11.7822","hemau"
"22","Dallgow-Döberitz","52.5333","13.05","dallgow-d-beritz"
"23","Obertrubach","49.7","11.35","obertrubach"
"24","Börtlingen (Kreis Göppingen)","48.75","9.63333","b-rtlingen-kreis-g-ppingen"
"25","Sallgast","51.5833","13.8667","sallgast"
"26","Hildburghausen","50.4395","10.7239","hildburghausen"
"27","Schortens","53.5396","7.96113","schortens"
"28","Frankenfeld, Aller","52.7667","9.41667","frankenfeld-aller"
"29","Buch bei Illertissen","48.2167","10.1833","buch-bei-illertissen"
"30","Karenz","53.2333","11.35","karenz"
"31","Aalen (Württemberg)","48.8333","10.1","aalen-w-rttemberg"
"32","Münster, Westfalen","51.9667","7.63333","m-nster-westfalen"
"33","Gera","50.8667","12.0833","gera"
"34","Wendisch Priborn","53.3333","12.2833","wendisch-priborn"
"35","Memmingen","47.9833","10.1667","memmingen"
"36","Irschenberg","47.8333","11.9167","irschenberg"
"37","Stoetze","53.0667","10.7833","stoetze"
"38","Wischhafen","53.7732","9.31861","wischhafen"
"39","Gattendorf, Oberfranken","50.3167","12.0167","gattendorf-oberfranken"
"40","Eßleben-Teutleben","51.1417","11.4583","e-leben-teutleben"
"41","Isny im Allgäu","47.7","10.0333","isny-im-allg-u"
"42","Reichertsheim","48.2","12.2833","reichertsheim"
"43","Landesbergen","52.5667","9.13333","landesbergen"
"44","Wenze","52.5667","11.1167","wenze"
"45","Berg, Oberfranken","50.3833","11.7833","berg-oberfranken"
"46","Bindlach","49.9817","11.6139","bindlach"
"47","Beverstedt","53.4333","8.81667","beverstedt"
"48","Nürtingen","48.6333","9.35","n-rtingen"
"49","Castrop-Rauxel","51.55","7.31667","castrop-rauxel"
